Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 15.73      0.14     0.14 101393340     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_Deque_iterator(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
 12.36      0.25     0.11  2000000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  5.62      0.30     0.05   103905     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__unguarded_partition<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  5.06      0.34     0.04 23888386     0.00     0.00  common::Point::operator<(common::Point const&) const
  4.49      0.39     0.04 10415508     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator+=(long)
  3.93      0.42     0.04 29682128     0.00     0.00  std::__deque_buf_size(unsigned long)
  3.93      0.46     0.04 29345765     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_S_buffer_size()
  3.37      0.48     0.03 20192383     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>) const
  3.37      0.52     0.03 18357157     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator--()
  3.37      0.55     0.03     6411     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  3.37      0.57     0.03       37     0.81     0.81  std::deque<common::Point, std::allocator<common::Point> >::end() const
