Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.68      0.12     0.12 101393340     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_Deque_iterator(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  9.40      0.23     0.11  2000000     0.00     0.00  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  6.84      0.32     0.08     6411     0.01     0.01  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  6.41      0.39     0.07 20192383     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>) const
  5.13      0.45     0.06 29682128     0.00     0.00  std::__deque_buf_size(unsigned long)
  5.13      0.51     0.06 23888386     0.00     0.00  common::Point::operator<(common::Point const&) const
  3.85      0.56     0.04 15163982     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator++()
  3.85      0.60     0.04  8432910     0.00     0.00  std::operator-(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  2.99      0.64     0.04   103905     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__unguarded_partition<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  2.99      0.67     0.04       37     0.95     0.95  std::deque<common::Point, std::allocator<common::Point> >::end() const
  2.56      0.70     0.03 29345765     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_S_buffer_size()
  2.56      0.73     0.03 10999911     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::end()
  2.56      0.76     0.03  4000000     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  2.56      0.79     0.03  3981077     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<common::Point> >, std::is_move_constructible<common::Point>, std::is_move_assignable<common::Point> >::value, void>::type std::swap<common::Point>(common::Point&, common::Point&)
  2.56      0.82     0.03  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  2.56      0.85     0.03   999997     0.00     0.00  void std::__unguarded_linear_insert<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Val_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Val_less_iter)
  2.56      0.88     0.03        1    30.00   792.55  std::deque<common::Point, std::allocator<common::Point> > common::compute_convex_hull<std::deque<common::Point, std::allocator<common::Point> > >(std::deque<common::Point, std::allocator<common::Point> >)
  2.14      0.91     0.03 71434849     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator*() const
  2.14      0.93     0.03 18357157     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator--()
  1.71      0.95     0.02 10415508     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator+=(long)
  1.71      0.97     0.02  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_erase(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.85      0.98     0.01 16639236     0.00     0.00  std::remove_reference<common::Point&>::type&& std::move<common::Point&>(common::Point&)
  0.85      0.99     0.01  6062500     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.85      1.00     0.01  4999969     0.00     0.00  std::operator==(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.85      1.01     0.01  4121246     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::size() const
  0.85      1.02     0.01  4000000     0.00     0.00  operator new(unsigned long, void*)
  0.85      1.03     0.01  3999958     0.00     0.00  common::compute_convex_hull<std::deque<common::Point, std::allocator<common::Point> > >(std::deque<common::Point, std::allocator<common::Point> >)::{lambda(common::Point const&, common::Point const&, common::Point const&)#1}::operator()(common::Point const&, common::Point const&, common::Point const&) const
  0.85      1.04     0.01  3981077     0.00     0.00  void std::iter_swap<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.85      1.05     0.01  3981077     0.00     0.00  std::operator<(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.85      1.06     0.01  2000000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.85      1.07     0.01  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::pop_back()
  0.85      1.08     0.01  1000001     0.00     0.00  bool std::operator!=<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> > const&, std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> > const&)
  0.85      1.09     0.01   121295     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::max_size() const
